@relation posture

@attribute tweet String
@attribute class {Anti-Roseanne,Pro-Roseanne,UncNeut}

@data
"Good. 'Roseanne cancelled: ABC scraps sitcom after star's racist tweets' https://t.co/M6ZFIwZM9y",Anti-Roseanne
" i_sing_my_heart ChuckNASCAR therealroseanne ABCNetwork The 1st Amendment prohibits the government from making l... https://t.co/YNYFomNa57",UncNeut
"Ppl crying about Roseanne are upset because another ignorant asshole is off the air that believes the same racist maga bullshit she does.",Anti-Roseanne
" JamilSmith ABCNetwork iamwandasykes Also ...Dungey has had this job since 2016!! Why did she allow Roseanne back... https://t.co/XhBfg8NziR",Anti-Roseanne
"Hey so it's good that Roseanne doesn't have a job again, but it also sucks for the rest of the non racist folks tha... https://t.co/DArIBayTkF",Anti-Roseanne
"Harris Faulkner is so sad. She is calling Roseanne's racism a misplaced joke.",Anti-Roseanne
"eu",UncNeut
"I think some of the people who just lost their jobs because of Roseanne's racist tweet don't understand they just got fired too.",UncNeut
" jefferyclark FoxNews JessicaTarlov therealroseanne Foul is when eye make up joke spins facts.  Conservatives... https://t.co/9igwLt3Rar",Anti-Roseanne
" increasethepaz therealroseanne All of Fox News' nightly programming would be a good start ...",UncNeut
"I can't with people who say 'Roseanne made a mistake and apologized' making despicable, racist statements is not a... https://t.co/iyx3mnXg4E",Anti-Roseanne
" therealroseanne We still love u Roseanne  Please don't leave.",Pro-Roseanne
"ABC cancels 'Roseanne' reboot after 'abhorrent, repugnant' tweet https://t.co/N6EiDF4uVC",UncNeut
" TheKittensMeow withthelanes shansoup alycam therealroseanne I tweeted you the same thing lol im so pissed she ruined that",UncNeut
" iamwandasykes RoseanneOnABC She won't be either! Thank you ABCNetwork for not condoning Roseanne's behavior.",Anti-Roseanne
"Roseanne Canceled by ABC After Roseanne Barr's Latest Offensive Tweets https://t.co/z4T01iZ9Lz",UncNeut
" billyeichner It's time for Roseanne: the Dan Connor Chronicles",UncNeut
"Buh bye ... don't let the door hit you in the ass. 'Roseanne' Canceled at ABC Following Racist Tweet - The Hollywo... https://t.co/zy6mgznIRe",Anti-Roseanne
" RobertIger therealroseanne If therealroseanne Then Why not TheView I hear they Talk Down at Americans 7 Trump F... https://t.co/QSH7Y0CCEv",Pro-Roseanne
" FoxNews Bye Roseanne.     https://t.co/frXHoTGw0p",Anti-Roseanne
" upandoutcomic wamandajd 'Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with our values, a... https://t.co/OArb9eZodc",UncNeut
" JenHutcherson soonerrick debralynnsmith3 therealroseanne LOL true that.",UncNeut
"ABC CANCELS 'ROSEANNE' https://t.co/BZetfyLW55 https://t.co/y5bZdYX84c",UncNeut
"A leopard doesn't change it's spots. https://t.co/zwv3BlxmRa",Anti-Roseanne
" SUBWAY With therealroseanne canceled, I'm feeling over roasted chicken breast for lunch. Might even treat myself to a sugar cookie.",Anti-Roseanne
"Roseanne's 'abhorrent' tweet about Valerie Jarrett sparks firestorm of criticism https://t.co/TIBZ238ZXp",UncNeut
"New post (NEW YORK | The Latest: ABC cancels 'Roseanne' after star's racist tweet) has been published on FeedPublis... https://t.co/e7pshmYoDo",UncNeut
" therealroseanne Sad...Friends disgusted and lost jobs because of you. ABC disgusted by you. Show now cancelled.... https://t.co/WjrvrRDsTG",Anti-Roseanne
" FOXTV Please Pickup The Roseanne Show,That wold be Great. https://t.co/72MwsctOIr",Pro-Roseanne
"The Latest: ABC cancels 'Roseanne' after star's racist tweet https://t.co/QYjmXcy8EZ https://t.co/ptZ7nAqKNJ",UncNeut
" therealroseanne You don't need to apologize for SHIT!!! Leftist on night TV have said way worse and still have the... https://t.co/z8Rhwcbb6Y",Pro-Roseanne
" Hardy13Phyllis Trying to use Roseanne fiasco as your excuse for calling me racist without proof? Nice try.",UncNeut
"HAPPENING NOW: ABC Just Canceled Roseanne's Reboot Show https://t.co/e7Q14cZL2p https://t.co/Q1easCzta0",UncNeut
"Media last week: MS-13 has human dignity Media this week: Roseanne is an animal",Pro-Roseanne
" therealroseanne Definition: Schrodinger's Douchebag One who makes douchebag statements, particularly sexist, racis... https://t.co/qnI7yo0Ktk",Anti-Roseanne
"I don't know what Roseanne said this time but the fact that I have to specify 'this time' should tell you everythin... https://t.co/DSx3PPzQCV",Anti-Roseanne
" therealroseanne You and that POS president realDonaldTrump both need to go!!! You're a disgrace and I am disguste... https://t.co/KHryiDQdZb",Anti-Roseanne
" therealroseanne Too late sister! ROSANNE SHOW CANCELLED! https://t.co/vkAHnWas9s",Anti-Roseanne
" therealroseanne You're ok Roseanne. Michelle Wolf apparently can be racist and sexist, not once but twice and not... https://t.co/k8rOvWhJQj",Pro-Roseanne
"Never apologize. They were just looking for an excuse to cancel. They hated that it was successful. The left can j... https://t.co/x6oQlFyTqA",Pro-Roseanne
"Roseanne' Canceled at ABC Following Racist Tweet https://t.co/wY5p1KRObq https://t.co/DKboJfKiAh",UncNeut
" therealroseanne Stand your ground, Roseanne. You can make a statement about the gross racial hypocrisy in this cou... https://t.co/fGpQeyCzcE",Pro-Roseanne
" therealroseanne Love you!",Pro-Roseanne
" Prosecutorslife therealroseanne https://t.co/cG6KhYbOns",UncNeut
"KG",UncNeut
" thejimjams Miss_DeMeanor2 Wish we would have known how to get rid of her years ago. Thanks therealroseanne. Who knew it was that easy!",Anti-Roseanne
"Why the ever loving fuck did ABCNetwork give therealroseanne a show anyway? She's been a garbage person and said... https://t.co/okJwNbSROE",Anti-Roseanne
" nypost 'Roseanne' cancelled...but SnoopDogg runs a video assassinating realDonaldTrump &amp; HE'S STILL HOSTING A SH... https://t.co/txe72kusc6",Pro-Roseanne
" therealroseanne I love the new Roseanne show. Looked forward watching Tuesday nights. I can't believe The View ge... https://t.co/Pv5jKWqDIB",Pro-Roseanne
" marthamaccallum therealroseanne RealCandaceO But it's ok for thousands of Hollywood elite to continue to bash ou... https://t.co/nF4hxf0cqY",Pro-Roseanne
"Fuck Roseanne.",Anti-Roseanne
" therealroseanne I stand by you therealroseanne https://t.co/Zl4Eq25h0M",Pro-Roseanne
"POTUS",UncNeut
" THEsaragilbert Sara you don't understand your comment's, No one gives a Big Rat's A..! Roseanne finally said what... https://t.co/AccHE7MqYe",Pro-Roseanne
" Mightymouth5413 Salty_Chad Roseanne was no more wrong than the thousands who slander our President daily, especia... https://t.co/HxXzBQKnMi",Pro-Roseanne
" crlange12 therealroseanne Ditto.",UncNeut
" k_ovfefe LisaMei62 therealroseanne I hope Trump dedicates his Tennessee Rally to Roseanne.",Pro-Roseanne
" directvnow Since this is ABC... Rose not Roseanne just to be clear.",UncNeut
"Roseanne Barf",Anti-Roseanne
" therealroseanne You took the high road and apologized, ABC made a big mistake by canceling your show.",Pro-Roseanne
"Roseanne IS trash, but the people working on that show now have to pay for her bigotry. That's sad. But they'll wak... https://t.co/Ps1Jph4ebC",Anti-Roseanne
"Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with out values, and we have decided to canc... https://t.co/NLmoUhhglP",UncNeut
"Now watch as she becomes a martyr for the Alt Right. https://t.co/zdHNuUTAfZ",Anti-Roseanne
" therealroseanne unseen1_unseen We will miss your dragon energy :(",Pro-Roseanne
"Roseanne",UncNeut
" Whuttheefff dnidfo therealroseanne https://t.co/8YZnUhLflY",UncNeut
"Roseanne",UncNeut
" JLynn2018 Toure therealroseanne ABCNetwork Is that your real hair?",UncNeut
" Reddsaidit I never watched the show's revival because Roseanne disgusted me as a person. I'm glad the network did the right thing",Anti-Roseanne
" EagleeyezM realLibertyTom therealroseanne https://t.co/KsJF3bOkon",UncNeut
" therealroseanne I love Karma. She always gets those most deserving!!!!",Anti-Roseanne
"Roseanne looks like an albino ape herself",Anti-Roseanne
"Roseanne' has been canceled https://t.co/S72lF9X2Ed https://t.co/BahuaIHEOV",UncNeut
" therealroseanne 22Americanfirst Roseanne , freudian slip but I can't stand Jarrett so it was not a big thang to... https://t.co/1bX2sStktc",Pro-Roseanne
" seanhannity Nothing about Roseanne show and you want to talk about when the ratings good when she does some stupid... https://t.co/n8aZaqK84G",UncNeut
"A ABC cancelou o smash-hit Roseanne ap s a protagonista chamar uma ex-funcion ria de Barack Obama de macaca nessa m... https://t.co/471azgk5Rn",UncNeut
"Ok...wheres the Roseanne crying jordan meme?",UncNeut
"Roseanne' Canceled at ABC Following Racist Tweet https://t.co/DlqeuCOkD9 via thr",UncNeut
" therealroseanne Buh bye you racist loser!!!!!!",Anti-Roseanne
"ABC has canceled 'Roseanne' after its star, Roseanne Barr, went on a vitriolic and racist Twitter rampage https://t.co/DAyF3vo8Ia",UncNeut
" krassenstein Never liked Roseanne even before I knew she is Trump supporter.",Anti-Roseanne
"Glad to see some universal justice coming to Roseanne Barr.",Anti-Roseanne
"DoubleStandards",Pro-Roseanne
"Roseanne' Canceled at ABC https://t.co/GJ3p4AXpDs",UncNeut
" blackvoices iMargo_CEO I knew this wasn't going to last feel sorry for the rest of the crew she brought them all... https://t.co/aUZW13RowJ",Anti-Roseanne
" LoriinUtah Deplorable4Sure ABC nbc POTUS Go to hell ABC you're a bunch of losers Roseanne is funny and she's all you had!",Pro-Roseanne
" therealroseanne Her politics are a joke. And she bares a Resemblance. Truth hurts. Fact matter. Don't apologize f... https://t.co/X4HulaYluT",Pro-Roseanne
" Lani6400 therealroseanne I agree Lani6400...",UncNeut
" TheTweetOfGod realDonaldTrump therealroseanne 'Disgusting! Hollywood Elites at failing abc cancel popular show b... https://t.co/4UtP7MqAhW",Pro-Roseanne
" JTMYVA therealroseanne https://t.co/CsmahxPVeo",UncNeut
"As a proud American and republican I am disgusted by you therealroseanne Your show teaches better morals that this... https://t.co/bXWM1c3NwH",Anti-Roseanne
" RealAlexJones therealroseanne Make her a new cohost",UncNeut
"ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/d7JDlgSF0F DOWN WITH ABC",UncNeut
" therealroseanne Just tell them to kiss your ass Roseanne the Muslim brotherhood are TTerrorist",Pro-Roseanne
"He's lost Shonda. He bout to lose Kenya (and I'm very sure this was a factor in their decision to capsize Roseanne)... https://t.co/QK7Or4trLj",UncNeut
"How could you therealroseanne",Anti-Roseanne
" therealroseanne NO YOUR NOT SORRY YOUR JUST ANOTHER RACIST THAT THOUGHT YOU WOULD BE LOOKED OVER WHEN YOU MADE A S... https://t.co/1OuKqzIAgv",Anti-Roseanne
"https://t.co/vhv0wxSmyy",UncNeut
" therealroseanne Best story of the day!!  https://t.co/WwiHAMKnGj",UncNeut
"Roseanne",UncNeut
" Knightkore therealroseanne WTF does this have to do with me and my tweet? And who is trying to be funny here? Seriously, wtf?",UncNeut
"Roseanne",UncNeut
"Good afternoon to everyone except my white middle-aged female coworker who can't understand why Roseanne was canceled.",Anti-Roseanne
"If Roseanne is fired for a racist joke for which she apologized then shouldn't the President  step down for simil... https://t.co/q3IWCC63mX",Anti-Roseanne
"To those crying FIRST AMENDMENT in re Roseanne... what is it a lot of you have said in re: NFL kneelers? Their employer can punish them???",Anti-Roseanne
"Roseanne",UncNeut
"oh no you're a writer or something who worked on roseanne? sorry you didn't have the sense to not get into bed with that idiot.",Anti-Roseanne
" therealroseanne to some of us, IT WAS A JOKE, if it had been far left content, ABC would give you a 3rd season. so... https://t.co/wzqeNP3a6j",Pro-Roseanne
"ABC Cancels The 'Roseanne' Show After Twitter Meltdown | Zero Hedge https://t.co/BkL4b7fera",UncNeut
" ABCNetwork RoseanneOnABC therealroseanne. We love you Roseanne. We will eat you on any network you will ever be... https://t.co/5q1HMNDBpu",Pro-Roseanne
" therealroseanne Fuck off!! You're an adult and you can't use comedy as an excuse! You SHOULD know better!",Anti-Roseanne
" ABCNetwork Goodbye ABC. CALL ME WHEN ROSEANNE IS BACK.",Pro-Roseanne
" POTUS_Don45 therealroseanne FoxNews foxandfriends Can we cancel him that easily",UncNeut
"Due to 'Roseanne's' cancellation, my household will be boycotting ABC - https://t.co/SGHm5QW0r9... https://t.co/zOU3bxsEqz",Pro-Roseanne
"BoycottABC",Pro-Roseanne
"girlbye",Anti-Roseanne
" therealroseanne those terrorist in Gaza are actually peaceful protestors who don't have the weapons that the Isr... https://t.co/fS3tzV8Uio",Anti-Roseanne
"ABC cancels 'Roseanne' following Roseanne Barr's racially-charged tweet https://t.co/kYV6w8gQDD via usatoday",UncNeut
"ABC canceled the reboot of its classic 'Roseanne' series hours after star Roseanne Barr sent a racially charged t... https://t.co/fiVwRckOsK",UncNeut
" therealroseanne You should had think before talkling!",Anti-Roseanne
" niceDonaIdTrump ABCNetwork therealroseanne Oh haha I was shocked",UncNeut
" NBCNews This is what happens when you are a racist. Most people don't like racists. It comes back to bite you. Bye... https://t.co/wkQtzjrFha",Anti-Roseanne
" RandyRainbow Wanda Sykes would be great replacing Roseanne, and poetic justice at the same time!",Anti-Roseanne
"Many in the media are still in denial. Some are suggesting that Trump's voters might be appalled by Roseanne's rac... https://t.co/PFMCOElGsC",UncNeut
" DevonAntonetti therealroseanne ABCNetwork I don't feel too bad for John Goodman, he seems to really be enjoying... https://t.co/pocWrKHgVg",UncNeut
" WSJ Liberals make me sick! Liars and they trash our President with no consequences...Roseanne was targeted from th... https://t.co/wxXfJBAZ4x",Pro-Roseanne
"Roseanne has always been crazy and ridiculous. She's just far right now instead of far left.",Anti-Roseanne
" JosephWinfield JTMYVA therealroseanne Your tweet reminds me of my 6 year old.",UncNeut
" GinnyMac55 Erick_O_524 SailorDemocracy devdev324 JTMYVA josie41929 therealroseanne Absolutely not. But she d... https://t.co/FNExYIWQQn",UncNeut
" therealroseanne You do not become smarter in the old age",Anti-Roseanne
"Kinda bummed they canceled Roseanne so fast when they could have killed her character off by denying her affordable health care.",Anti-Roseanne
"Wow special shoutout to therealroseanne for being a blatant racist fuck and thinking an apology will save her ass.... https://t.co/xniBNRBIPA",Anti-Roseanne
"Congratulations to ABCNetwork for doing the right thing! I for one will never forget it       https://t.co/0IJmjBlWH5",Anti-Roseanne
"How come the Lefties can insult anyone they want like realDonaldTrump but therealroseanne can't make a clear poli... https://t.co/tgAsLS1r1X",Pro-Roseanne
"Roseanne",UncNeut
"Excellent news! Exactly the kind of behaviour I'd have expected from one of Trumps cronies. Congratulations to ABC... https://t.co/6cTbZT2GyP",Anti-Roseanne
" TheTweetOfGod realDonaldTrump therealroseanne 'SHAME that the liberal media went all in on this WITCH HUNT of m... https://t.co/QM30kM6Ffb",Pro-Roseanne
"ABC Cancels 'Roseanne' Following Backlash Over Star's Racist Tweets https://t.co/3ogyc3UvUU",UncNeut
" ThePlumLineGS No that is the whole point. Check Breitbart or the National Review in comments. They support Roseann... https://t.co/JPFmgkSxUK",UncNeut
"Roseanne",UncNeut
"antisemitism",UncNeut
"FreedomOfSpeech",Pro-Roseanne
"I can't even tell you how happy this makes me! ABC cancels 'Roseanne' after star's racist Twitter rant - CNNMoney https://t.co/Z0BoVnH33m",Anti-Roseanne
" Milliron681 andygh26 soonerrick debralynnsmith3 therealroseanne Does she still look like this? Is she even sti... https://t.co/s3UpNDrSGq",UncNeut
" therealroseanne Your racist VIEWS are more than 'in bad taste'! You are a horrible person, and your evil tongue go... https://t.co/Fn56IZmo4Q",Anti-Roseanne
"BoycottABC",Pro-Roseanne
"Barr once dressed up as Adolf Hitler for a photo shoot. https://t.co/loiG23ci73 via HuffPostPol",Anti-Roseanne
"Roseanne Barr got fired deservingly so she is cause more controversy and then most existing shows people cannot esp... https://t.co/BA1r61TXlF",Anti-Roseanne
" angusparvo instapundit WaltDisneyCo therealroseanne ABCNetwork espn Wow. Great point!!!!",UncNeut
" magnificenthack ABCNetwork therealroseanne You are right.. and ABC does not match my values and therefore is cancelled",Pro-Roseanne
"They should kill Roseanne off on Roseanne",Anti-Roseanne
"Glad therealroseanne show got cancelled you old dirty racist.",Anti-Roseanne
" therealroseanne CNN ananavarro nytimes I've always thought Roseanne was an slob low-life with her mouth and she... https://t.co/J8TO6cxhAE",Anti-Roseanne
" DeplorableLL realDonaldTrump therealroseanne It was a bad joke and she acknowledged it and apologized.",Pro-Roseanne
" Gardasmama85 therealroseanne It's not okay to tweet things that are blatantly racist. ABC did the right thing. Watch reruns!",Anti-Roseanne
"Roseanne",UncNeut
" Lrihendry therealroseanne ABC Read the Constitution, MORON! Maybe you and your ilk can't read. More likely you l... https://t.co/R0cxESpIRh",UncNeut
" TwitterMoments To hell with ABC I stand by Roseanne! What she said is 100%. Valerie Jarrett is scum!",Pro-Roseanne
"I'm shocked at the amount of people that truly think Roseanne's right to free speech was violated. Actually, no. I... https://t.co/pyQddWWWOX",Anti-Roseanne
"ABC Cancels Roseanne, Calls Roseanne Barr's Racist Tweet 'Abhorrent' and 'Repugnant' - People https://t.co/ZGCoYeVlZj",UncNeut
" FrozenSicleGirl 1charlieprince puffballsgirl therealroseanne They have them on Amazon. I'm so freaking annoyed... https://t.co/U0sVy7DwyK",UncNeut
" therealroseanne Cancelled, yeah. Repercussions for spreading lies and hatred.",Anti-Roseanne
" Salon I think Roseanne and Trump have Mad Cow disease. The lives they ruin because of the bigotry they both espous... https://t.co/UM3KgAdgrl",Anti-Roseanne
" brianstelter azkaban2 ABC netflix hulu comcast and Time Warner must all pledge to NOT RUN RERUNS of... https://t.co/CitzZwgVsT",Anti-Roseanne
"ABC network cancels 'Roseanne' reboot following racist tweet by therealroseanne aimed at former aide to President... https://t.co/ebfgKwzJHt",UncNeut
" therealroseanne You're leaving ABC now.....lol",Anti-Roseanne
"Roseanne' Canceled at ABC Following Racist Tweet https://t.co/wxEfcElBIS",UncNeut
"Roseanne",UncNeut
" DougStanhope you appeared on Roseanne and now it's cancelled. If only you could have a cameo in every super hero movie that comes out.",UncNeut
"trump",UncNeut
"Roseanne' canceled by Disney's ABC after racist tweet on ex-Obama adviser Valerie Jarrett https://t.co/7Afc8N60yx via crainschicago",UncNeut
" wenhutton undhockeyfan DaveyDaisy2 thenatureboiiii ryanfeinberg407 therealroseanne I'll give them a safe place. Lol",UncNeut
" ShowcaseWishes Iger should take note of Roseanne and start deleting some of his tweets.",UncNeut
"If you're mad about Roseanne being canceled and think ABC wanted to violate her 'First Amendment Rights' then I sur... https://t.co/XUcLE1j8dl",Anti-Roseanne
" therealroseanne Haha your show got canceled.",Anti-Roseanne
" therealroseanne No you are not. But you will be!",UncNeut
"So, this tRumpturd who is racist just put her entire show out of work... what a tRumpturd! https://t.co/tsBNJAECVQ",Anti-Roseanne
"Roseanne",UncNeut
"Roseanne Barr is hilariously dumb. Al Campanis says hello.",Anti-Roseanne
"That fat racist cunt Roseanne will be a regular on Fox News for the next year no doubt.",Anti-Roseanne
"Roseanne' Canceled By ABC Following Backlash Over Star's Racist Tweets https://t.co/tHcQcYIu0w",UncNeut
" nabilitoz ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne Why is it racist? Do you think she looks like an ape?",Pro-Roseanne
"Kudos to ABC for canceling TV show of the ignorant loudmouth Roseanne Barr! Trump will just have to tune into Fox... https://t.co/SEmYPDyUgH",Anti-Roseanne
"Dear ABC! Don't cancel Roseanne!  therealroseanne IS dispensable! Just replace her with melissamccarthy!!! Wh... https://t.co/lwu0WBjxnl",Anti-Roseanne
" therealroseanne Canceled! HA! Don't be a dipshit!",Anti-Roseanne
"fortheloveofdemocracy",UncNeut
" therealroseanne Nope. Not the first time, Roseanne. Not the first time at all.",Anti-Roseanne
"ABC has dropped Roseanne's show after racist tweet",UncNeut
" Starbucks please send a copy of the anti-bias training to therealroseanne. She needs reality not thoughts and prayer.",Anti-Roseanne
"BoycottABC",Pro-Roseanne
"FoxNews",UncNeut
" therealroseanne You should have known better because you've been doing it for years. Thought you could get away wi... https://t.co/MUBeBKjfyz",Anti-Roseanne
" therealroseanne https://t.co/Km4hBBfJAl",UncNeut
" Lrihendry therealroseanne You mean Joy Behar right?",UncNeut
" therealroseanne You should never ever apologize to hypocrites Roseanne! They just want to shut you up!",Pro-Roseanne
" JackiSchechner gailtalk kathygriffin therealroseanne OH figures, CNN LOL, FAKE NEWS HYPOCRITES. Did you defend Joy Reid?",Pro-Roseanne
" ABCNetwork SHAME ON YOU ABC!! GET RID OF RACIST ROSEANNE BARR! Stick to your core values of programming!PLEASE!!",Anti-Roseanne
" therealroseanne Nah nah nah nah, nah nah nah nah, hey hey hey... Well, you know the rest.",Anti-Roseanne
"Roseanne' Cancelled Because of Star's Racist Tweet https://t.co/ScFk8X6sN0",UncNeut
" TheTweetOfGod realDonaldTrump therealroseanne 'Roseanne is an icon of the industry and ABC should be ashamed of... https://t.co/rw6FdNaksv",Pro-Roseanne
" teetoatee im2b WhiplashFletch glangendorf01 THEsaragilbert Don't rest THEsaragilbert shit on Jon Goodman. He... https://t.co/4dw8layfjY",UncNeut
"So Roseanne got canned and she got fired because she is a racist fuckwit. https://t.co/pQCQlFmbwv",Anti-Roseanne
"BoycottABC",Pro-Roseanne
" televisionarie All those 'good people' (not counting like. Craft service people/ boom operators etc) knew what Ros... https://t.co/2LP7ZAwwPd",UncNeut
" advodude DisneyABCTV therealroseanne Fair enough, however, as per your own stated words, it is their right (NFL)... https://t.co/qVlL0Zs0WY",UncNeut
"https://t.co/URggOBSKRa",UncNeut
" rcosgrove ABCNetwork therealroseanne ABCNetwork needs to write therealroseanne out of the show- kill off the c... https://t.co/sTLn3YDFrd",Anti-Roseanne
"Roseanne",UncNeut
" JenBarnes007 TheTweetOfGod realDonaldTrump therealroseanne But those NFL players protesting...",UncNeut
"ABC has decided to cancel 'Roseanne' the TV show after Roseanne Barr sent out a Tweet comparing former Obama aide V... https://t.co/hGKO6xog7g",UncNeut
" therealroseanne who the fuck do you think you are? You should be ashamed but I doubt you are. https://t.co/qiJy69isGT",Anti-Roseanne
" therealroseanne Love your show. At least u apologized, chelseahandler take notice!",Pro-Roseanne
"ABC pulls the plug on 'Roseanne.' https://t.co/Aru3nFdUWD",UncNeut
" ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne Calling someone an ape is worse than calling them a Nazi.",Anti-Roseanne
"Roseanne needs to go to https://t.co/sucGcA8p1Z to see if she's even 1% black, at which point that licenses her to... https://t.co/zs6RTtoQQQ",UncNeut
" ReneePostula therealroseanne Jimmy Kimmel is ok!",UncNeut
" therealroseanne I will always be a fan of yours no matter what. I love the fact that you tell it like it is, espec... https://t.co/kf9I8uU8FZ",Pro-Roseanne
" Pablo54572241 realLibertyTom therealroseanne",UncNeut
" therealroseanne And ABC",UncNeut
" therealroseanne And because of you, dozens of people, if not more, have lost their jobs. Not just the actors, but... https://t.co/YsbTUuPHdq",Anti-Roseanne
" therealroseanne We ain't forgiving crap.",Anti-Roseanne
" UpinCT stranahan therealroseanne She doesn't appeal to me",UncNeut
" chrislhayes Good, quick move ABC Guess ABC didn't want to swirl down the toilet with Roseanne...",Anti-Roseanne
" therealroseanne 2. Where never your friends in the 1st place, because you voted for potus, and they probably jumpe... https://t.co/UI4CHMHNGa",Anti-Roseanne
"If there's one thing the Trump administration is doing, its emboldening racists to come into full public view so th... https://t.co/Lmq7NGdDuE",Anti-Roseanne
"so trumpkins are all furious at liberals because Roseanne has been cancelled yet will go out of their way to tell y... https://t.co/glX00tHVt4",Anti-Roseanne
"Yesterday I smiled when I looked at my sofa. Not now. I've followed and admired your work for as long as I can re... https://t.co/SCo206mbAY",UncNeut
"I hate the racist comments about Roseanne. People should mind her god damn business about Trump. Don't call me the... https://t.co/NnDTabWFPe",Pro-Roseanne
" Colts5Braves Not sure what ABC was thinking, roseanne has been this way on twitter well before the reboot.",Anti-Roseanne
"ABC cancels 'Roseanne' following Roseanne Barr's racist tweet targeting Obama adviser https://t.co/yDgHYIQ5pg via clarionledger",UncNeut
"ABC cancels 'Roseanne' after star's racist Twitter rant - CNN Money https://t.co/qQASRMiS9k",UncNeut
"Roseanne",UncNeut
" iamwandasykes RoseanneOnABC I'm so proud of your decision sister. This is what I love about black people, black p... https://t.co/DIYo3ayUaV",Anti-Roseanne
" rkfatheree therealroseanne You've made your point.  I don't believe I've seen this prior..",UncNeut
" Qinater POTUS realDonaldTrump therealroseanne piss on the NFL too little too late",UncNeut
" therealroseanne Good go fuck yourself",Anti-Roseanne
" therealroseanne FIGHT BACK. Contact FoxTV and ask them to pick up Roseanne's show which was canceled b/c of a twee... https://t.co/gew1c4Xf6v",Pro-Roseanne
" danajodrury therealroseanne           . Dumb ass. You and all the people who think that Trump and Barr are the shit wi... https://t.co/VoDCM3sgbP",Anti-Roseanne
" Longbow141 KTHopkins therealroseanne Im sure you think racism somehow is not filth, okay. Go get your head checked",Anti-Roseanne
"I'm glad Roseanne got canceled. But I'm sad because this is 2018, which means someone will end up being murdered b... https://t.co/vgzVz1Ljv4",Anti-Roseanne
"Roseanne' Cancelled After Season 11 After Roseanne Barr Racist Tweet - Movie Magic https://t.co/CxHwUOjINv",UncNeut
"Roseanne",UncNeut
"Roseanne",UncNeut
" letsallkneel thejoyhoney DonCheadle RoseanneOnABC therealroseanne Trust me, Roseanne is more important to your... https://t.co/0cXuvCbrsS",UncNeut
"ABC cancels 'Roseanne' after TV star tweets racial slur https://t.co/nt3VeMYFvT",UncNeut
"Thank you ABC for canceling therealroseanne 's show. She's entitled to free speech but she's not free from the co... https://t.co/2yeG7DHN48",Anti-Roseanne
" TwitterMoments I feel bad for the cast and crew that lost their jobs because of this inconsiderate blowhard. Good... https://t.co/c9jgg2aHmV",Anti-Roseanne
"istandwithroseanne",Pro-Roseanne
" DrumphIQ Of course trump and Roseanne are cut from the same bullish and vulgar character.",Anti-Roseanne
" THEsaragilbert They should rename the show Dan and have Roseanne killed off by a app (perfect huh lol)",Anti-Roseanne
"ABC cancels 'Roseanne' after racist tweets https://t.co/g6PPl3C2SD",UncNeut
" ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne Support Roseanne",Pro-Roseanne
" therealroseanne I see the leftist trolls have struck! You're still loved and needed for the Republicans. What woul... https://t.co/CTUbaGY15G",Pro-Roseanne
"PoemToWelcomeSummer",UncNeut
" therealroseanne Serves you right, Rosy. I had planned on watching your reboot until your drooling at the mouth ove... https://t.co/SBGlZ4ME9v",Anti-Roseanne
"Bye Roseanne...hahahaha",Anti-Roseanne
" therealroseanne You don't have to apologize, Roseanne----not to them, and from ABC using you as a human-shield. I... https://t.co/deUHNnM9u3",Pro-Roseanne
" therealroseanne Why did you apologize Rosie? You have nothing to apologize for!",Pro-Roseanne
"Hi ABCNetwork: I'm glad you did the right thing and canceled therealroseanne. But she's been a vile racist in pub... https://t.co/v6ihyYWtOg",Anti-Roseanne
" jrbloom57 Toure ABC therealroseanne Only Anti-Christian fake apologies are accepted by ABC.",Pro-Roseanne
" gphillimo krazyladygma therealroseanne Agreed Bro!",UncNeut
"BREAKING: 'Roseanne' co-star John Goodman speaks out on the show's cancellation https://t.co/f2U6MyUHu0",UncNeut
"MAGA",Pro-Roseanne
"I know the Roseanne cast that had nothing going for them besides that HOT",UncNeut
"Roseanne' Canceled at ABC Following Racist Tweet https://t.co/sFtooNugVH",UncNeut
"HAPPENING NOW: ABC Just Canceled Roseanne's Reboot Show https://t.co/fqbPZWKzob via truthfeednews",UncNeut
"Roseanne",UncNeut
" juliomcrosa 'La actriz Roseanne Barr se disculp  el martes por un tweet que comparaba a Valerie Jarrett, una ex as... https://t.co/5iXpPfyNcE",UncNeut
" texasps FoxNews ABC Roseanne Free speech does not mean you're entitled to a TV show. She called a black woman... https://t.co/zm4QhVVezy",Anti-Roseanne
" therealroseanne we got your back... Real people know it was just a joke and words dont hurt us",Pro-Roseanne
"Your move realDonaldTrump. Tweet yourself out of your job like therealroseanne.",Anti-Roseanne
"Roseanne's mistake was that she said the quiet part loudly. The quiet stuff is just as bad and needs to be decried just as harshly.",UncNeut
" therealroseanne Roseanne Barr has a disturbing history of calling black women   apes   In that old tweet she went... https://t.co/ygZY6h7AB0",Anti-Roseanne
